Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf



CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"52279","NT27SE 26","Edinburgh, General","Burgh (Medieval), Town (Period Unassigned)","325500","673500","EDINBURGH, CITY OF","MIDLOTHIAN","EDINBURGH (EDINBURGH, CITY OF)","NT 2550 7350","http://canmore.org.uk/site/52279",
"21664","NM22SE 50","Iona, Iona Abbey","Abbey (Medieval), Cathedral (Period Unassigned)","128683","724515","ARGYLL AND BUTE","ARGYLL","KILFINICHEN AND KILVICKEON","NM 28683 24515","http://canmore.org.uk/site/21664",
"87467","NJ23SE 7","Achbreck","Enclosure(S) (Period Unassigned), Farmstead (Period Unassigned)","329600","833900","MORAY","BANFFSHIRE","MORTLACH","NJ 296 339","http://canmore.org.uk/site/87467",
"513","HU30NE 10","Jarlshof","Broch (Iron Age), Settlement (Period Unassigned), Wheelhouse(S) (Iron Age)","439819","1109551","SHETLAND ISLANDS","SHETLAND","DUNROSSNESS","HU 39819 09551","http://canmore.org.uk/site/513",
"1663","HY21NW 120","Skara Brae","Settlement (Neolithic)","323125","1018745","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 23125 18745","http://canmore.org.uk/site/1663",
"2094","HY31SW 1","Maes Howe","Chambered Cairn (Neolithic)","331820","1012770","ORKNEY ISLANDS","ORKNEY","STENNESS","HY 3182 1277","http://canmore.org.uk/site/2094",
"2105","HY31SW 2","Stones Of Stenness","Henge (Neol/bronze Age), Stone Circle (Neol/bronze Age)","330670","1012520","ORKNEY ISLANDS","ORKNEY","STENNESS","HY 3067 1252","http://canmore.org.uk/site/2105",
"3136","HY52SW 4","Shapinsay, Hillock Of Burroughston","Broch (Iron Age)","354060","1021000","ORKNEY ISLANDS","ORKNEY","SHAPINSAY","HY 5406 2100","http://canmore.org.uk/site/3136",
"3183","HY53NE 9","Eday, Vinquoy Hill","Chambered Cairn (Neolithic)","356010","1038120","ORKNEY ISLANDS","ORKNEY","EDAY","HY 5601 3812","http://canmore.org.uk/site/3183",
"4121","NB14SE 1","Lewis, Dun Carloway","Broch (Iron Age)","119002","941230","WESTERN ISLES","ROSS AND CROMARTY","UIG","NB 19002 41230","http://canmore.org.uk/site/4121",
"5626","NC63NW 9","St Martin's Well, Grumbeg","Well (Period Unassigned)","263400","938300","HIGHLAND","SUTHERLAND","FARR","NC 634 383","http://canmore.org.uk/site/5626",
"5825","NC70NE 28","Rogart","No Class","","","HIGHLAND","SUTHERLAND","ROGART","NC  ","http://canmore.org.uk/site/5825",
